id,code,name,region
52437,52022674,邯郸市馆陶县人民医院,河北
52438,52022302,中国医学科学院皮肤病医院,江苏
52439,52022358,上海市浦东新区六团镇卫生院,上海
52440,52022033,无锡市太湖医院,江苏
52441,52022038,中国人民解放军海军第九七一医院,山东
52442,52022668,焦作市第三人民医院,河南
52443,52022338,大连市第二人民医院,辽宁
52444,52022339,大连市第五人民医院,辽宁
52445,52022386,东莞广济医院,广东
52446,52014002,陆军军医大学第一附属医院,重庆
52447,52014604,国家卫生健康委临床检验中心,北京
52448,52022053,铜陵市人民医院701分院,安徽
52449,52022060,安徽省立医院,安徽
52450,52022084,秦皇岛市北戴河医院,河北
52451,52022411,百色市人民医院,广西
52452,52022490,广东医科大学附属医院,广东
52453,52022451,佛山复星禅诚医院,广东
52454,52022466,福州东方男子医院,福建
52455,52022687,邯郸市中心医院东院区,河北
52456,52022707,中国人民解放军联勤保障部队第九八九医院,河南
52457,52022041,中国人民解放军第八六医院,安徽
52458,52022470,甘肃省人民医院西院区,甘肃
52459,52022475,甘肃省人民医院,甘肃
52460,52022061,西安市中心医院,陕西
52461,52022730,湘潭市第一人民医院,湖南
52462,52022076,深圳市龙华新区慢病中心,广东
52463,52022086,北海市妇幼保健院,广西
52464,52022710,南阳市中心医院,河南
52465,52013998,郴州市第一人民医院,湖南
52466,52022058,泰安八十八医院,山东
52467,52022048,安徽医科大学第一附属医院,安徽
52468,52022027,无锡市第五人民医院,江苏
52469,52022649,杭州市第一人民医院,浙江
52470,52022662,保定市第一医院,河北
52471,52022074,白银市第二人民医院,甘肃
52472,52022075,广州市白云区妇幼保健院,广东
52473,52022037,中国人民解放军总医院第五医学中心,北京
52474,52022103,北京军区63920部队门诊,北京
52475,52022113,北京市昌平区中医医院,北京
52476,52022122,北京电力医院,北京
52477,52022144,北京市职业病防治院,北京
52478,52022146,北京市回民医院,北京
52479,52022081,宝鸡市中心医院,陕西
52480,52022153,北京京煤集团总医院,北京
52481,52022154,首都医科大学附属北京积水潭医院,北京
52482,52022150,北京市健宫医院,北京
52483,52022701,黄河三门峡医院,河南
52484,52022022,南京医科大学第二附属医院,江苏
52485,52022024,上海市食品药品检验研究院,上海
52486,52022082,宝应县人民医院,江苏
52487,52022115,北京朝阳糖尿病医院,北京
52488,52022139,北京和睦家医院有限公司,北京
52489,52022147,北京市佳境体检中心,北京
52490,52022072,自贡市第一人民医院,四川
52491,52022712,商丘市第一人民医院,河南
52492,52022166,北京市第二医院,北京
52493,52022168,北京核工业医院四〇一院区,北京
52494,52022160,应急总医院,北京
52495,52022717,浦东新区合庆镇社区卫生服务中心,上海
52496,52022206,首都医科大学宣武医院,北京
52497,52022192,北京水利医院,北京
52498,52022229,北京航空制造工程研究所,北京
52499,52022252,常德肿瘤医院,湖南
52500,52022260,长沙市第四医院,湖南
52501,52022216,蚌埠市妇幼保健院,安徽
52502,52022304,中国石油大学校医院,北京
52503,52022285,成都市计划生育技术指导所,四川
52504,52022287,成都市公共卫生临床医疗中心(航天院区),四川
52505,52022246,长春市传染病医院,吉林
52506,52022274,常州市第三人民医院,江苏
52507,52004480,佳木斯市中心医院,黑龙江
52508,52004492,宁夏回族自治区人民医院,宁夏
52509,52004494,青海大学附属医院,青海
52510,52004491,中国人民解放军总医院第六医学中心,北京
52511,52022311,贵州省黔南州人民医院,贵州
52512,52022301,中国医科大学附属第四医院,辽宁
52513,52022317,重庆三峡医药高等专科学校附属人民医院,重庆
52514,52022724,淮安市中医院,江苏
52515,52022085,北海市人民医院,广西
52516,52022292,新疆医科大学第八附属医院（原新疆维吾尔自治区胸科医院）,新疆
52517,52022087,解放军总医院第三医学中心,北京
52518,52022093,北京协和医院西院,北京
52519,52022098,中国人民解放军总医院第四医学中心,北京
52520,52022107,首都医科大学附属北京安贞医院,北京
52521,52022116,北京市第一中西医结合医院（CBD院区）,北京
52522,52022124,首都医科大学附属北京地坛医院,北京
52523,52022111,北京市密云区医院,北京
52524,52022175,首都医科大学附属北京友谊医院平谷分院,北京
52525,52022802,惠州出入境检验检疫局,广东
52526,52022210,重庆市大渡口区人民医院,重庆
52527,52022174,北京市体检中心,北京
52528,52022812,胜利油田管理局机关医院,山东
52529,52022847,上海市静安区江宁路街道社区卫生服务中心,上海
52530,52022732,黄石市中心医院,湖北
52531,52022757,襄阳市中西医结合医院(襄阳市东风人民医院),湖北
52532,52022189,北京朝阳三环肿瘤医院,北京
52533,52022195,首都医科大学附属天坛医院,北京
52534,52022750,天门市第一人民医院,湖北
52535,52022034,中国人民解放军联勤保障部队第九二一医院,湖南
52536,52022226,北京市新世纪国际儿童医院,北京
52537,52022753,武汉大学中南医院,湖北
52538,52022250,长春市中心医院,吉林
52539,52022817,河南省胸科医院,河南
52540,52022036,中国人民解放军联勤保障部队第九六九医院,内蒙古
52541,52022077,淮安市第一人民医院,江苏
52542,52022838,佳木斯中心医院二部,黑龙江
52543,52022759,湖北省地质矿产局职工医院,湖北
52544,52022768,仙桃市第一人民医院,湖北
52545,52022809,中山大学附属第八医院,广东
52546,52022857,江苏省肿瘤医院,江苏
52547,52022866,江西省胸科医院(江西省第三人民医院),江西
52548,52022723,哈尔滨二四二医院,黑龙江
52549,52022105,北京市房山区良乡医院,北京
52550,52022129,北京市房山区第一医院分院老年病医院,北京
52551,52022106,北京安定医院,北京
52552,52022114,首都医科大学附属北京朝阳医院石景山院区,北京
52553,52022239,首都医科大学附属首都儿童医学中心,北京
52554,52022135,首都医科大学附属复兴医院,北京
52555,52022869,赣州市人民医院北院区,江西
52556,52022873,南昌市人民医院抚河院区,江西
52557,52022849,汉寿县人民医院,湖南
52558,52022265,长兴县中医院,浙江
52559,52022125,北京中医药大学东直门医院,北京
52560,52022141,首都医科大学附属北京中医医院,北京
52561,52022920,吉林大学中日联谊医院,吉林
52562,52022921,吉林大学第二医院自强院区,吉林
52563,52022140,北京市和平里医院,北京
52564,52022167,北京市第六医院,北京
52565,52022348,丹阳市中医院,江苏
52566,52022196,首都医科大学附属北京同仁医院,北京
52567,52022349,大庆市第二医院,黑龙江
52568,52022350,大庆市第四医院,黑龙江
52569,52022267,沧州市中心医院,河北
52570,52004470,大连市妇女儿童医疗中心(集团),辽宁
52571,52022324,太原钢铁（集团）有限公司总医院尖草坪医院,山西
52572,52022346,十堰市铁路医院,湖北
52573,52004529,山西省人民医院,山西
52574,52022366,电白县电城中心卫生院(电白县第二人民医院),广东
52575,52022340,大连市公共卫生临床中心,辽宁
52576,52022412,广州市干部健康管理中心,广东
52577,52022423,丰城市中医院,江西
52578,52004502,天津市天津医院,天津
52579,52022289,岑溪市妇幼保健院,广西
52580,52022320,佛山市顺德区勒流镇医院,广东
52581,52022428,空军军医大学第三附属医院,陕西
52582,52022476,甘肃医学院附属医院,甘肃
52583,52022402,东莞市厚街医院,广东
52584,52022410,中国人民武装警察部队广西壮族自治区总队医院,广西
52585,52022390,东莞市桥头宏达门诊部,广东
52586,52022391,东莞沙田医院,广东
52587,52022397,东莞市莞城人民医院,广东
52588,52022400,东莞市中堂镇东泊村卫生站,广东
52589,52022415,粤北第二人民医院,广东
52590,52022419,房县人民医院,湖北
52591,52022282,西部战区总医院,四川
52592,52022308,泰州市中西医结合医院,江苏
52593,52022405,东营鸿港医院有限公司,山东
52594,52022417,鄂州二医院,湖北
52595,52022374,北京市东城区第一妇幼保健院,北京
52596,52022427,湖北省中西医结合医院,湖北
52597,52022316,重庆医科大学附属儿童医院,重庆
52598,52022438,晋江市医院,福建
52599,52022445,三明市沙县区总医院,福建
52600,52022452,佛山市中医院,广东
52601,52022442,福建省级机关医院,福建
52602,52022493,博罗县人民医院,广东
52603,52022465,阜阳市人民医院（北区）,安徽
52604,52022457,佛山市皮肤病防治所,广东
52605,52022500,佛山市第一人民医院,广东
52606,52022437,南平市建阳第一医院,福建
